ID,CN_Key,CN_Code,Name
7279,481300000080,4813,"Cigarette paper, whether or not cut to size o"
7285,481400000080,4814,Wallpaper and similar wallcoverings; window t
7290,481600000080,4816,"Carbon paper, self-copy paper and other copyi"
7293,481700000080,4817,"Envelopes, letter cards, plain postcards and"
7297,481800000080,4818,"Toilet paper and similar paper, cellulose wad"
7311,481900000080,4819,"Cartons, boxes, cases, bags and other packing"
7318,482000000080,4820,"Registers, account books, notebooks, order bo"
7329,482100000080,4821,"Paper or paperboard labels of all kinds, whet"
7336,482200000080,4822,"Bobbins, spools, cops and similar supports, o"
7339,482300000080,4823,"Other paper, paperboard, cellulose wadding an"
7354,490100000080,4901,"Printed books, brochures, leaflets and simila"
7359,490200000080,4902,"Newspapers, journals and periodicals, whether"
7364,490500000080,4905,Maps and hydrographic or similar charts of al
7374,490800000080,4908,Transfers (decalcomanias)
7379,491100000080,4911,"Other printed matter, including printed pictu"
7400,500700000080,5007,Woven fabrics of silk or of silk waste
7426,510100000080,5101,"Wool, not carded or combed"
7434,510200000080,5102,"Fine or coarse animal hair, not carded or com"
7443,510300000080,5103,Waste of wool or of fine or coarse animal hai
7450,510500000080,5105,"Wool and fine or coarse animal hair, carded o"
7459,510600000080,5106,"Yarn of carded wool, not put up for retail sa"
7468,510700000080,5107,"Yarn of combed wool, not put up for retail sa"
7483,510800000080,5108,"Yarn of fine animal hair (carded or combed),"
7490,510900000080,5109,"Yarn of wool or of fine animal hair, put up f"
7496,511100000080,5111,Woven fabrics of carded wool or of carded fin
7509,511200000080,5112,Woven fabrics of combed wool or of combed fin
7527,520200000080,5202,Cotton waste (including yarn waste and garnet
7533,520400000080,5204,"Cotton sewing thread, whether or not put up f"
7538,520500000080,5205,"Cotton yarn (other than sewing thread), conta"
7569,520600000080,5206,"Cotton yarn (other than sewing thread), conta"
7594,520700000080,5207,Cotton yarn (other than sewing thread) put up
7597,520800000080,5208,"Woven fabrics of cotton, containing 85 % or m"
7646,520900000080,5209,"Woven fabrics of cotton, containing 85 % or m"
7668,521000000080,5210,"Woven fabrics of cotton, containing less than"
